FBgn_mel	gene_symbol_mel	scaffold_mel	location_mel	strand_mel	FBgn_sim	gene_symbol_sim	scaffold_sim	location_sim	strand_sim	orthoDB_ID_sim	gene_symbol_yak	scaffold_yak	location_yak	strand_yak	FBgn_yak	orthoDB_ID_yak
6853	FBgn0037475	Fer1	3R	7136206..7141972	1	FBgn0191398	Dsim\GD19915	Scf_3R	2885742..2890662	1	EOG09190EWJ	Fer1	3R	7136206..7141972	1	FBgn0242002	Dyak\GE24907
6854	FBgn0037477	CG14610	3R	7143729..7144295	-1	FBgn0190997	Dsim\GD19501	Scf_3R	2891909..2893097	-1	EOG09190I38	CG14610	3R	7143729..7144295	-1	FBgn0242866	Dyak\GE25814
6855	FBgn0037478	CG2656	3R	7144724..7151270	1	FBgn0191399	Dsim\GD19916	Scf_3R	2893446..2900020	1	EOG09190CLE	CG2656	3R	7144724..7151270	1	FBgn0242003	Dyak\GE24908
6856	FBgn0037482	CG10055	3R	7184101..7186673	-1	FBgn0190993	Dsim\GD19497	Scf_3R	2932705..2935263	-1	EOG091906F5	CG10055	3R	7184101..7186673	-1	FBgn0242861	Dyak\GE25808
6857	FBgn0037483	CG14609	3R	7200970..7203450	1	FBgn0191403	Dsim\GD19920	Scf_3R	2949554..2952014	1	EOG091906Z0	CG14609	3R	7200970..7203450	1	FBgn0242007	Dyak\GE24912
6858	FBgn0037485	CG14606	3R	7214339..7217083	-1	FBgn0190990	Dsim\GD19494	Scf_3R	2963342..2966127	-1	EOG091908S1	CG14606	3R	7214339..7217083	-1	FBgn0242858	Dyak\GE25805
6859	FBgn0037486	CG14605	3R	7217679..7219705	-1	FBgn0190989	Dsim\GD19493	Scf_3R	2966477..2968703	-1	EOG091908GD	CG14605	3R	7217679..7219705	-1	FBgn0242857	Dyak\GE25804
6860	FBgn0037487	thw	3R	7224414..7241138	1	FBgn0191405	Dsim\GD19922	Scf_3R	2973847..2990047	1	EOG0919018H	thw	3R	7224414..7241138	1	FBgn0242008	Dyak\GE24913
6861	FBgn0037488	CG14607	3R	7241760..7244006	1	FBgn0191406	Dsim\GD19923	Scf_3R	2990654..2992918	1	EOG09190C6B	CG14607	3R	7241760..7244006	1	FBgn0242009	Dyak\GE24914
6862	FBgn0037489	CG1234	3R	7244232..7246969	-1	FBgn0190988	Dsim\GD19492	Scf_3R	2993078..2995861	-1	EOG091903K7	CG1234	3R	7244232..7246969	-1	FBgn0242856	Dyak\GE25803
6863	FBgn0037493	CR10032	3R	7271592..7272509	1	FBgn0191410	Dsim\GD19927	Scf_3R	3020424..3022704	1	EOG091905LK	CR10032	3R	7271592..7272509	1	FBgn0277117	Dyak\GE28962
6864	FBgn0037501	Ir84a	3R	7406869..7409384	1	FBgn0191418	Dsim\GD19935	Scf_3R	3151755..3154279	1	EOG0919062X	Ir84a	3R	7406869..7409384	1	FBgn0229003	Dyak\GE11181
6865	FBgn0037502	wa-cup	3R	7420765..7423057	1	FBgn0191420	Dsim\GD19937	Scf_3R	3165718..3168018	1	EOG091904NB	wa-cup	3R	7420765..7423057	1	FBgn0242025	Dyak\GE24930
6866	FBgn0037506	Mics1	3R	7500951..7502376	-1	FBgn0190976	Dsim\GD19479	Scf_3R	3245025..3246483	-1	EOG09190D3V	Mics1	3R	7500951..7502376	-1	FBgn0242844	Dyak\GE25789
6867	FBgn0037515	Sp7	3R	7759786..7763947	1	FBgn0191429	Dsim\GD19946	Scf_3R	3475564..3478229	1	EOG0919096S	Sp7	3R	7759786..7763947	1	FBgn0242034	Dyak\GE24940
6868	FBgn0037516	CG11286	3R	7770860..7771756	-1	FBgn0190964	Dsim\GD19465	Scf_3R	3485427..3486373	-1	EOG09190FP7	CG11286	3R	7770860..7771756	-1	FBgn0242831	Dyak\GE25775
6869	FBgn0037518	CG2641	3R	7794069..7796599	1	FBgn0191431	Dsim\GD19948	Scf_3R	3508561..3511669	1	EOG091907ZL	CG2641	3R	7794069..7796599	1	FBgn0242036	Dyak\GE24942
6870	FBgn0037519	CG3014	3R	7799264..7802793	-1	FBgn0190958	Dsim\GD19459	Scf_3R	3514045..3517076	-1	EOG091906ED	CG3014	3R	7799264..7802793	-1	FBgn0242825	Dyak\GE25769
6871	FBgn0037520	CG18268	3R	7802831..7804432	-1	FBgn0190957	Dsim\GD19458	Scf_3R	3517153..3518735	-1	EOG09190AHG	CG18268	3R	7802831..7804432	-1	FBgn0242824	Dyak\GE25768
6872	FBgn0037521	CG2993	3R	7804665..7810014	-1	FBgn0190956	Dsim\GD19457	Scf_3R	3518766..3524288	-1	EOG091908G7	CG2993	3R	7804665..7810014	-1	FBgn0228936	Dyak\GE11110
6873	FBgn0037525	CG17816	3R	7855582..7886733	-1	FBgn0190954	Dsim\GD19455	Scf_3R	3572268..3600750	-1	EOG091904BX	CG17816	3R	7855582..7886733	-1	FBgn0242821	Dyak\GE25765
6874	FBgn0037526	ArgRS-m	3R	7887045..7890150	1	FBgn0191438	Dsim\GD19955	Scf_3R	3600971..3603152	1	EOG0919072S	ArgRS-m	3R	7887045..7890150	1	FBgn0242042	Dyak\GE24948
6875	FBgn0037531	CG10445	3R	7916599..7920299	-1	FBgn0190948	Dsim\GD19449	Scf_3R	3630526..3634247	-1	EOG091902I1	CG10445	3R	7916599..7920299	-1	FBgn0242817	Dyak\GE25760
6876	FBgn0037533	CD98hc	3R	7974409..7978428	-1	FBgn0190943	Dsim\GD19444	Scf_3R	3687598..3691548	-1	EOG0919088Z	CD98hc	3R	7974409..7978428	-1	FBgn0242812	Dyak\GE25755
6877	FBgn0037536	CG2698	3R	8001562..8006033	1	FBgn0191445	Dsim\GD19962	Scf_3R	3714589..3718950	1	EOG091902O0	CG2698	3R	8001562..8006033	1	FBgn0242053	Dyak\GE24959
6878	FBgn0037537	CG2767	3R	8005924..8008110	-1	FBgn0190940	Dsim\GD19441	Scf_3R	3718834..3721016	-1	EOG09190BN0	CG2767	3R	8005924..8008110	-1	FBgn0242809	Dyak\GE25752
6879	FBgn0037538	CG3223	3R	8009400..8011018	1	FBgn0191446	Dsim\GD19963	Scf_3R	3722178..3723934	1	EOG09190BS2	CG3223	3R	8009400..8011018	1	FBgn0242054	Dyak\GE24960
6880	FBgn0037541	CG2747	3R	8016210..8030790	-1	FBgn0190936	Dsim\GD19437	Scf_3R	3729429..3744383	-1	EOG0919007C	CG2747	3R	8016210..8030790	-1	FBgn0242806	Dyak\GE25749
6881	FBgn0037543	CG10903	3R	8030411..8032145	1	FBgn0191448	Dsim\GD19965	Scf_3R	3743950..3745575	1	EOG09190CSO	CG10903	3R	8030411..8032145	1	FBgn0242057	Dyak\GE24963
6882	FBgn0037544	CG11035	3R	8031130..8033009	-1	FBgn0190933	Dsim\GD19434	Scf_3R	3745705..3746582	-1	EOG09190GMW	CG11035	3R	8031130..8033009	-1	FBgn0242803	Dyak\GE25746
6883	FBgn0037546	mAChR-B	3R	8059284..8087049	1	FBgn0190032	Dsim\GD18509	Scf_3R	17043349..17071412	-1	EOG0919031E	mAChR-B	3R	8059284..8087049	1	FBgn0242896	Dyak\GE25846
6884	FBgn0037547	CG7910	3R	8087252..8089526	1	FBgn0190034	Dsim\GD18511	Scf_3R	17040857..17043159	-1	EOG091905K5	CG7910	3R	8087252..8089526	1	FBgn0242897	Dyak\GE25847
6885	FBgn0037548	CG7900	3R	8094124..8105083	1	FBgn0190035	Dsim\GD18512	Scf_3R	17037129..17040040	-1	EOG09190AAB	CG7900	3R	8094124..8105083	1	FBgn0242898	Dyak\GE25848
6886	FBgn0037549	CG7878	3R	8122725..8125273	1	FBgn0190037	Dsim\GD18514	Scf_3R	17016943..17019546	-1	EOG09190749	CG7878	3R	8122725..8125273	1	FBgn0242900	Dyak\GE25850
6887	FBgn0037550	CG9667	3R	8125290..8126357	-1	FBgn0192350	Dsim\GD20890	Scf_3R	17015795..17016919	1	EOG09190DRQ	CG9667	3R	8125290..8126357	-1	FBgn0241971	Dyak\GE24874
6888	FBgn0037551	Arl8	3R	8126605..8129835	1	FBgn0190038	Dsim\GD18515	Scf_3R	17012550..17015556	-1	EOG09190G54	Arl8	3R	8126605..8129835	1	FBgn0242901	Dyak\GE25851
6889	FBgn0037552	CG7800	3R	8217957..8219734	1	FBgn0190042	Dsim\GD18519	Scf_3R	16922982..16924765	-1	EOG091907CK	CG7800	3R	8217957..8219734	1	FBgn0242902	Dyak\GE25852
6890	FBgn0037553	CG18249	3R	8220146..8222188	1	FBgn0190043	Dsim\GD18520	Scf_3R	16920552..16922642	-1	EOG09190CJY	CG18249	3R	8220146..8222188	1	FBgn0242903	Dyak\GE25853
6891	FBgn0037554	DNApol-iota	3R	8233507..8237389	1	FBgn0190044	Dsim\GD18521	Scf_3R	16904638..16907581	-1	EOG091904LF	DNApol-iota	3R	8233507..8237389	1	FBgn0242904	Dyak\GE25854
6892	FBgn0037555	Ada2b	3R	8236632..8240515	-1	FBgn0192346	Dsim\GD20886	Scf_3R	16900831..16904141	1	EOG091907YB	Ada2b	3R	8236632..8240515	-1	FBgn0241966	Dyak\GE24869
6893	FBgn0037556	CG9636	3R	8240747..8243792	-1	FBgn0192345	Dsim\GD20885	Scf_3R	16897506..16900363	1	EOG09190DBP	CG9636	3R	8240747..8243792	-1	FBgn0241965	Dyak\GE24868
6894	FBgn0037561	CG9630	3R	8267943..8269896	-1	FBgn0192341	Dsim\GD20881	Scf_3R	16868496..16872803	1	EOG091904S5	CG9630	3R	8267943..8269896	-1	FBgn0241962	Dyak\GE24865
6895	FBgn0037562	Nazo	3R	8287876..8288613	1	FBgn0190054	Dsim\GD18531	Scf_3R	16852392..16853167	-1	EOG09190JPG	Nazo	3R	8287876..8288613	1	FBgn0242911	Dyak\GE25861
6896	FBgn0037563	CG11672	3R	8289395..8290578	-1	FBgn0192340	Dsim\GD20880	Scf_3R	16850369..16851611	1	EOG09190EWV	CG11672	3R	8289395..8290578	-1	FBgn0241961	Dyak\GE24863
6897	FBgn0037565	CG9626	3R	8293843..8300978	-1	FBgn0192339	Dsim\GD20879	Scf_3R	16840031..16847409	1	EOG091900KV	CG9626	3R	8293843..8300978	-1	FBgn0241960	Dyak\GE24862
6898	FBgn0037566	mRpL1	3R	8301440..8302770	1	FBgn0269389	Dsim\GD28099	Scf_3R	16838331..16839651	-1	EOG09190CN9	mRpL1	3R	8301440..8302770	1	FBgn0242914	Dyak\GE25864
6899	FBgn0037569	tex	3R	8307473..8308645	-1	FBgn0192337	Dsim\GD20876	Scf_3R	16832216..16833540	1	EOG09190AZN	tex	3R	8307473..8308645	-1	FBgn0241958	Dyak\GE24859
6900	FBgn0037570	CG11693	3R	8308881..8310778	-1	FBgn0192336	Dsim\GD20875	Scf_3R	16830907..16832141	1	EOG09190GO1	CG11693	3R	8308881..8310778	-1	FBgn0241957	Dyak\GE24858
6901	FBgn0037572	CG11698	3R	8312188..8313097	1	FBgn0190058	Dsim\GD18535	Scf_3R	16827887..16828813	-1	EOG09190KIW	CG11698	3R	8312188..8313097	1	FBgn0242915	Dyak\GE25865
6902	FBgn0037573	CG7483	3R	8313208..8314864	1	FBgn0270869	Dsim\GD29579	Scf_3R	16826108..16827772	-1	EOG091908Z2	CG7483	3R	8313208..8314864	1	FBgn0242917	Dyak\GE25867
6903	FBgn0037574	Coq2	3R	8314784..8316543	-1	FBgn0186791	Dsim\GD15120	Scf_3R	16824375..16826001	1	EOG09190AFE	Coq2	3R	8314784..8316543	-1	FBgn0241955	Dyak\GE24856
6904	FBgn0037576	Or85a	3R	8321747..8323054	1	FBgn0187048	Dsim\GD15380	Scf_3R	16817587..16820202	-1	EOG091909PL	Or85a	3R	8321747..8323054	1	FBgn0242919	Dyak\GE25869
6905	FBgn0037577	CG7443	3R	8324316..8325036	1	FBgn0269851	Dsim\GD28561	Scf_3R	16815978..16816692	-1	EOG09190KP3	CG7443	3R	8324316..8325036	1	FBgn0242920	Dyak\GE25870
6906	FBgn0037578	CG9601	3R	8341661..8343516	-1	FBgn0192334	Dsim\GD20873	Scf_3R	16797395..16799272	1	EOG091907Q9	CG9601	3R	8341661..8343516	-1	FBgn0241951	Dyak\GE24852
6907	FBgn0037579	COX7AL	3R	8343669..8344310	1	FBgn0265132	Dsim\CoVIIa	Scf_3R	16796625..16797321	-1	EOG09190JML	COX7AL	3R	8343669..8344310	1	FBgn0242922	Dyak\GE25872
6908	FBgn0037580	DppIII	3R	8344400..8347465	1	FBgn0190061	Dsim\GD18539	Scf_3R	16793477..16796541	-1	EOG0919034K	DppIII	3R	8344400..8347465	1	FBgn0242923	Dyak\GE25873
6909	FBgn0037581	CG7352	3R	8347579..8349296	1	FBgn0190062	Dsim\GD18540	Scf_3R	16790873..16793295	-1	EOG091908MX	CG7352	3R	8347579..8349296	1	FBgn0242924	Dyak\GE25874
6910	FBgn0037584	CG7963	3R	8362826..8363894	1	FBgn0190065	Dsim\GD18543	Scf_3R	16777168..16778906	-1	EOG09190C3S	CG7963	3R	8362826..8363894	1	FBgn0242928	Dyak\GE25878
6911	FBgn0037592	CG11737	3R	8517868..8521378	1	FBgn0190067	Dsim\GD18545	Scf_3R	16629325..16632889	-1	EOG091908HP	CG11737	3R	8517868..8521378	1	FBgn0242930	Dyak\GE25880
6912	FBgn0037594	Or85d	3R	8552608..8553968	1	FBgn0190070	Dsim\GD18548	Scf_3R	16596557..16598230	-1	EOG091908XE	Or85d	3R	8552608..8553968	1	FBgn0242933	Dyak\GE25883
6913	FBgn0037601	Cyp313b1	3R	8643070..8645650	-1	FBgn0192319	Dsim\GD20858	Scf_3R	16518384..16520487	1	EOG0919064Y	Cyp313b1	3R	8643070..8645650	-1	FBgn0241939	Dyak\GE24840
6914	FBgn0037602	SLIRP2	3R	8651084..8651493	1	FBgn0190078	Dsim\GD18556	Scf_3R	16512445..16512902	-1	EOG09190K13	SLIRP2	3R	8651084..8651493	1	FBgn0242939	Dyak\GE25889
6915	FBgn0037603	CG11753	3R	8652821..8653847	1	FBgn0190079	Dsim\GD18557	Scf_3R	16510054..16510910	-1	EOG09190GV9	CG11753	3R	8652821..8653847	1	FBgn0242940	Dyak\GE25890
6916	FBgn0037606	CG8032	3R	8664115..8667772	1	FBgn0190080	Dsim\GD18558	Scf_3R	16496451..16499806	-1	EOG091905GI	CG8032	3R	8664115..8667772	1	FBgn0242941	Dyak\GE25891
6917	FBgn0037607	CG8036	3R	8667868..8673702	1	FBgn0190082	Dsim\GD18560	Scf_3R	16490130..16495942	-1	EOG091904HG	CG8036	3R	8667868..8673702	1	FBgn0242942	Dyak\GE25892
6918	FBgn0037608	mRpL19	3R	8674109..8675196	1	FBgn0190083	Dsim\GD18561	Scf_3R	16488654..16489767	-1	EOG09190CDY	mRpL19	3R	8674109..8675196	1	FBgn0242943	Dyak\GE25893
6919	FBgn0037609	CG9773	3R	8675283..8676613	-1	FBgn0192313	Dsim\GD20852	Scf_3R	16487223..16488581	1	EOG09190D2J	CG9773	3R	8675283..8676613	-1	FBgn0241935	Dyak\GE24835
6920	FBgn0037610	CG8043	3R	8676915..8678233	1	FBgn0190084	Dsim\GD18562	Scf_3R	16485633..16486957	-1	EOG09190AJE	CG8043	3R	8676915..8678233	1	FBgn0068229	Dyak\GE25894
6921	FBgn0037611	CG11755	3R	8676915..8678955	1	FBgn0190085	Dsim\GD18563	Scf_3R	16484913..16486953	-1	EOG09190J0P	CG11755	3R	8676915..8678955	1	FBgn0242944	Dyak\GE25895
6922	FBgn0037612	CG8112	3R	8712933..8715263	1	FBgn0190086	Dsim\GD18564	Scf_3R	16451196..16453749	-1	EOG09190553	CG8112	3R	8712933..8715263	1	FBgn0242945	Dyak\GE25896
6923	FBgn0037613	Cks85A	3R	8712906..8718456	-1	FBgn0268096	Dsim\GD26806	Scf_3R	16448041..16451271	1	EOG09190JKQ	Cks85A	3R	8712906..8718456	-1	FBgn0241934	Dyak\GE24833
6924	FBgn0037614	TMEM216	3R	8716243..8721320	1	FBgn0190087	Dsim\GD18565	Scf_3R	16446186..16450223	-1	EOG09190IAV	TMEM216	3R	8716243..8721320	1	FBgn0242946	Dyak\GE25897
6925	FBgn0037615	CG11760	3R	8719198..8721320	1	FBgn0190088	Dsim\GD18566	Scf_3R	16445258..16447579	-1	EOG09190IP9	CG11760	3R	8719198..8721320	1	FBgn0242947	Dyak\GE25898
6926	FBgn0037616	CG8136	3R	8721371..8723051	1	FBgn0190089	Dsim\GD18567	Scf_3R	16443430..16445199	-1	EOG091908Q4	CG8136	3R	8721371..8723051	1	FBgn0242949	Dyak\GE25900
6927	FBgn0037617	nom	3R	8723174..8725357	1	FBgn0190090	Dsim\GD18568	Scf_3R	16441679..16443293	-1	EOG091909VM	nom	3R	8723174..8725357	1	FBgn0242950	Dyak\GE25901
6928	FBgn0037618	ouib	3R	8725479..8726730	1	FBgn0190091	Dsim\GD18569	Scf_3R	16439750..16441576	-1	EOG09190AXS	ouib	3R	8725479..8726730	1	FBgn0242951	Dyak\GE25902
6929	FBgn0037619	CG8159	3R	8726854..8728370	1	FBgn0190092	Dsim\GD18570	Scf_3R	16438101..16439624	-1	EOG091909ZJ	CG8159	3R	8726854..8728370	1	FBgn0242952	Dyak\GE25903
6930	FBgn0037620	ranshi	3R	8728367..8729693	-1	FBgn0192310	Dsim\GD20849	Scf_3R	16436722..16438109	1	EOG09190BG6	ranshi	3R	8728367..8729693	-1	FBgn0241933	Dyak\GE24832
6931	FBgn0037621	M1BP	3R	8729790..8731698	-1	FBgn0269009	Dsim\GD27719	Scf_3R	16434816..16436655	1	EOG091908R0	M1BP	3R	8729790..8731698	-1	FBgn0241931	Dyak\GE24830
6932	FBgn0037622	CG8202	3R	8732091..8735837	1	FBgn0190093	Dsim\GD18571	Scf_3R	16430682..16434506	-1	EOG091901XB	CG8202	3R	8732091..8735837	1	FBgn0242953	Dyak\GE25904
6933	FBgn0037623	CG9801	3R	8735879..8747675	-1	FBgn0192309	Dsim\GD20848	Scf_3R	16418919..16430649	1	EOG091903IZ	CG9801	3R	8735879..8747675	-1	FBgn0241930	Dyak\GE24829
6934	FBgn0037624	CG8223	3R	8747798..8754104	1	FBgn0190094	Dsim\GD18572	Scf_3R	16412074..16418787	-1	EOG09190C3P	CG8223	3R	8747798..8754104	1	FBgn0242954	Dyak\GE25905
6935	FBgn0037626	CG8236	3R	8769394..8771150	1	FBgn0190095	Dsim\GD18573	Scf_3R	16394787..16396645	-1	EOG091908IM	CG8236	3R	8769394..8771150	1	FBgn0242955	Dyak\GE25906
6936	FBgn0037627	CG13318	3R	8771246..8772691	-1	FBgn0192306	Dsim\GD20845	Scf_3R	16393283..16394784	1	EOG091908S6	CG13318	3R	8771246..8772691	-1	FBgn0241927	Dyak\GE24826
6937	FBgn0037630	Ir85a	3R	8794684..8796966	1	FBgn0190097	Dsim\GD18575	Scf_3R	16369662..16372225	-1	EOG0919048P	Ir85a	3R	8794684..8796966	1	FBgn0242957	Dyak\GE25908
6938	FBgn0037632	CCT7	3R	8801564..8806234	1	FBgn0190098	Dsim\GD18576	Scf_3R	16360223..16364841	-1	EOG091905XV	CCT7	3R	8801564..8806234	1	FBgn0242958	Dyak\GE25909
6939	FBgn0037633	CG9839	3R	8803471..8805802	-1	FBgn0192299	Dsim\GD20838	Scf_3R	16360514..16362902	1	EOG091903SH	CG9839	3R	8803471..8805802	-1	FBgn0241918	Dyak\GE24817
6940	FBgn0037634	hng2	3R	8806322..8807581	1	FBgn0190100	Dsim\GD18578	Scf_3R	16358710..16360139	-1	EOG09190GLR	hng2	3R	8806322..8807581	1	FBgn0242960	Dyak\GE25911
6941	FBgn0037635	CG9837	3R	8807679..8813579	-1	FBgn0192298	Dsim\GD20837	Scf_3R	16356513..16357626	1	EOG09190IMI	CG9837	3R	8807679..8813579	-1	FBgn0241917	Dyak\GE24816
6942	FBgn0037637	IscU	3R	8822849..8824177	-1	FBgn0269293	Dsim\GD28003	Scf_3R	16342078..16343400	1	EOG09190HL9	IscU	3R	8822849..8824177	-1	FBgn0241915	Dyak\GE24814
6943	FBgn0037638	CG8379	3R	8824411..8827279	1	FBgn0190101	Dsim\GD18579	Scf_3R	16339002..16341849	-1	EOG091903FP	CG8379	3R	8824411..8827279	1	FBgn0242962	Dyak\GE25913
6944	FBgn0037643	ScsbetaA	3R	8938724..8943027	1	FBgn0190103	Dsim\GD18581	Scf_3R	16244811..16249057	-1	EOG091908AW	ScsbetaA	3R	8938724..8943027	1	FBgn0242964	Dyak\GE25915
6945	FBgn0037644	CG11964	3R	8942954..8945020	-1	FBgn0192294	Dsim\GD20833	Scf_3R	16242775..16244802	1	EOG091905UH	CG11964	3R	8942954..8945020	-1	FBgn0241913	Dyak\GE24812
6946	FBgn0037646	CAHbeta	3R	8980860..8982793	1	FBgn0190104	Dsim\beta-CA	Scf_3R	16204533..16206542	-1	EOG09190DKU	CAHbeta	3R	8980860..8982793	1	FBgn0242965	Dyak\beta-CA
6947	FBgn0037647	RagA-B	3R	8982732..8984315	-1	FBgn0192293	Dsim\GD20832	Scf_3R	16203018..16204360	1	EOG09190BM9	RagA-B	3R	8982732..8984315	-1	FBgn0241911	Dyak\GE24810
6948	FBgn0037648	CG11975	3R	8993253..8995212	1	FBgn0190107	Dsim\GD18585	Scf_3R	16192579..16194108	-1	EOG09190AWE	CG11975	3R	8993253..8995212	1	FBgn0242967	Dyak\GE25918
6949	FBgn0037650	CG11977	3R	8997697..8998678	1	FBgn0186816	Dsim\GD15146	Scf_3R	16188690..16190065	-1	EOG09190DD5	CG11977	3R	8997697..8998678	1	FBgn0242968	Dyak\GE25919
6950	FBgn0037652	CG11980	3R	9004017..9005331	1	FBgn0190109	Dsim\GD18587	Scf_3R	16181955..16183289	-1	EOG09190BZ6	CG11980	3R	9004017..9005331	1	FBgn0242969	Dyak\GE25920
6951	FBgn0037653	Iru	3R	9006456..9008030	1	FBgn0190110	Dsim\GD18588	Scf_3R	16179326..16180914	-1	EOG09190BU4	Iru	3R	9006456..9008030	1	FBgn0242971	Dyak\GE25922
6952	FBgn0037654	CG11983	3R	9008321..9010274	1	FBgn0190111	Dsim\GD18589	Scf_3R	16177055..16179001	-1	EOG091908U5	CG11983	3R	9008321..9010274	1	FBgn0242972	Dyak\GE25923
6953	FBgn0037655	Kcmf1	3R	9010282..9014909	-1	FBgn0192289	Dsim\GD20827	Scf_3R	16172517..16177007	1	EOG091909U5	Kcmf1	3R	9010282..9014909	-1	FBgn0241906	Dyak\GE24805
6954	FBgn0037656	CG11986	3R	9015446..9016822	1	FBgn0190112	Dsim\GD18590	Scf_3R	16170363..16171969	-1	EOG09190A77	CG11986	3R	9015446..9016822	1	FBgn0242973	Dyak\GE25924
6955	FBgn0037657	hyx	3R	9038760..9042349	1	FBgn0190113	Dsim\GD18591	Scf_3R	16145145..16147792	-1	EOG09190615	hyx	3R	9038760..9042349	1	FBgn0242974	Dyak\GE25925
6956	FBgn0037659	Kdm2	3R	9052495..9063245	1	FBgn0190116	Dsim\GD18594	Scf_3R	16124103..16134729	-1	EOG091901G8	Kdm2	3R	9052495..9063245	1	FBgn0242976	Dyak\GE25927
6957	FBgn0037660	beag	3R	9063132..9065078	-1	FBgn0192284	Dsim\GD20821	Scf_3R	16122265..16124185	1	EOG091908BF	beag	3R	9063132..9065078	-1	FBgn0241901	Dyak\GE24799
6958	FBgn0037661	Ada	3R	9065183..9066303	1	FBgn0190117	Dsim\GD18595	Scf_3R	16121034..16122161	-1	EOG09190D2S	Ada	3R	9065183..9066303	1	FBgn0242978	Dyak\GE25929
6959	FBgn0037662	CG11997	3R	9177517..9179098	1	FBgn0190118	Dsim\GD18596	Scf_3R	16008781..16012335	-1	EOG09190AYS	CG11997	3R	9177517..9179098	1	FBgn0242979	Dyak\GE25930
6960	FBgn0037664	CG8420	3R	9246649..9251431	1	FBgn0190119	Dsim\GD18597	Scf_3R	15936279..15940806	-1	EOG091907UP	CG8420	3R	9246649..9251431	1	FBgn0242980	Dyak\GE25931
6961	FBgn0037665	St2	3R	9251843..9253514	1	FBgn0190120	Dsim\GD18598	Scf_3R	15934630..15936006	-1	EOG09190B4N	St2	3R	9251843..9253514	1	FBgn0242982	Dyak\GE25933
6962	FBgn0037667	CG16734	3R	9255052..9256731	1	FBgn0190122	Dsim\GD18600	Scf_3R	15930830..15932573	-1	EOG09190BNS	CG16734	3R	9255052..9256731	1	FBgn0242985	Dyak\GE25936
6963	FBgn0037668	CG16736	3R	9256689..9257716	-1	FBgn0192275	Dsim\GD20812	Scf_3R	15929864..15930885	1	EOG09190CPT	CG16736	3R	9256689..9257716	-1	FBgn0241895	Dyak\GE24793
6964	FBgn0037669	Ibf2	3R	9257727..9258501	-1	FBgn0192274	Dsim\GD20811	Scf_3R	15928995..15929864	1	EOG09190G1X	Ibf2	3R	9257727..9258501	-1	FBgn0241894	Dyak\GE24792
6965	FBgn0037670	Ibf1	3R	9258964..9260400	1	FBgn0190123	Dsim\GD18601	Scf_3R	15927131..15928549	-1	EOG09190DVP	Ibf1	3R	9258964..9260400	1	FBgn0242986	Dyak\GE25937
6966	FBgn0037671	ATP6AP2	3R	9260638..9262590	1	FBgn0190124	Dsim\GD18602	Scf_3R	15924964..15926902	-1	EOG09190CBB	ATP6AP2	3R	9260638..9262590	1	FBgn0068219	Dyak\GE25938
6967	FBgn0037672	sage	3R	9262654..9264142	-1	FBgn0192273	Dsim\GD20810	Scf_3R	15922999..15924916	1	EOG09190FU2	sage	3R	9262654..9264142	-1	FBgn0241893	Dyak\GE24791
6968	FBgn0037675	HP1e	3R	9321770..9322361	1	FBgn0264930	Dsim\HP1E	Scf_3R	15878012..15878754	-1	EOG09190GM1	HP1e	3R	9321770..9322361	1	FBgn0242988	Dyak\HP1E
6969	FBgn0037676	CG8861	3R	9293642..9328511	-1	FBgn0192270	Dsim\GD20807	Scf_3R	15871896..15898794	1	EOG09190HLR	CG8861	3R	9293642..9328511	-1	FBgn0241891	Dyak\GE24789
6970	FBgn0037679	Aduk	3R	9332064..9334714	-1	FBgn0192267	Dsim\GD20804	Scf_3R	15865553..15868332	1	EOG091906FT	Aduk	3R	9332064..9334714	-1	FBgn0241887	Dyak\GE24785
6971	FBgn0037680	pasi2	3R	9335170..9337459	1	FBgn0190127	Dsim\GD18605	Scf_3R	15863103..15865171	-1	EOG09190DHP	pasi2	3R	9335170..9337459	1	FBgn0242989	Dyak\GE25941
6972	FBgn0037683	CG18473	3R	9363305..9364838	1	FBgn0190129	Dsim\GD18607	Scf_3R	15835527..15837082	-1	EOG09190AR1	CG18473	3R	9363305..9364838	1	FBgn0242991	Dyak\GE25944
6973	FBgn0037684	Srr	3R	9365398..9367763	1	FBgn0190131	Dsim\GD18609	Scf_3R	15832493..15835033	-1	EOG091909EZ	Srr	3R	9365398..9367763	1	FBgn0242992	Dyak\GE25945
6974	FBgn0037685	Or85f	3R	9398190..9399551	1	FBgn0190133	Dsim\GD18611	Scf_3R	15801138..15803824	-1	EOG091909BV	Or85f	3R	9398190..9399551	1	FBgn0242993	Dyak\GE25946
6975	FBgn0037687	CG8132	3R	9401495..9402618	1	FBgn0190134	Dsim\GD18612	Scf_3R	15798056..15799204	-1	EOG09190CJN	CG8132	3R	9401495..9402618	1	FBgn0242994	Dyak\GE25947
6976	FBgn0037688	CG9356	3R	9402564..9404269	-1	FBgn0192263	Dsim\GD20800	Scf_3R	15796454..15798142	1	EOG0919082T	CG9356	3R	9402564..9404269	-1	FBgn0241884	Dyak\GE24781
6977	FBgn0037689	CG8135	3R	9404385..9407857	1	FBgn0190136	Dsim\GD18614	Scf_3R	15792824..15796284	-1	EOG091904QC	CG8135	3R	9404385..9407857	1	FBgn0242996	Dyak\GE25949
